Emp_ID,Age,Yrs_Exp,Performance_Score,Train_Hrs,Proj_Complete,Salary,Promoted
1001,61,1,65,12,6,43648,0
1002,51,12,64,13,2,108967,1
1003,37,15,97,59,2,25535,1
1004,30,14,57,7,3,73469,0
1005,43,9,62,24,1,89912,0
1006,61,13,92,17,9,69493,1
1007,41,9,56,50,14,97417,1
1008,45,13,66,43,10,70785,1
1009,33,8,99,43,11,110017,1
1010,33,13,81,17,4,91561,0
1011,46,2,71,9,5,55869,0
1012,58,19,100,6,7,90094,1
1013,62,15,62,59,1,55192,0
1014,46,1,96,49,3,94157,1
1015,25,9,72,43,14,111483,1
1016,44,2,78,13,3,104941,0
1017,24,10,71,14,2,82544,0
1018,46,10,50,15,8,29403,0
1019,52,20,78,1,5,61091,1
1020,60,20,97,29,1,77510,1
1021,24,12,54,29,12,113061,1
1022,43,6,84,17,2,30017,0
1023,55,16,59,30,1,64203,0
1024,34,1,68,43,15,81473,1
1025,44,11,86,47,6,77123,1
1026,47,9,56,12,9,73260,0
1027,49,17,95,19,11,70938,1
1028,50,10,84,48,7,82929,1
1029,38,15,94,49,5,110265,1
1030,37,16,62,34,12,118966,0
1031,25,18,59,22,13,62372,1
1032,59,17,51,41,3,78252,1
1033,29,2,55,32,12,39628,0
1034,43,20,57,37,12,37501,1
1035,31,15,85,34,8,55131,1
1036,61,5,74,50,10,114102,1
1037,40,11,93,35,4,114360,1
1038,26,10,96,60,9,93348,1
1039,47,14,89,19,5,117862,1
1040,36,14,56,54,14,34402,1
1041,31,15,95,2,6,116861,1
1042,48,9,72,7,5,80956,0
1043,24,11,68,39,10,76920,1
1044,42,12,95,58,12,51000,1
1045,50,3,71,31,11,114795,1
1046,29,6,62,28,7,92462,0
1047,30,1,70,6,7,91392,0
1048,57,14,50,1,1,30988,0
1049,36,7,68,20,2,99279,1
1050,39,6,82,5,7,81999,0
1051,58,14,53,27,8,94674,0
1052,62,13,91,47,4,106618,1
1053,26,7,52,41,6,78426,0
1054,24,11,76,35,11,83824,1
1055,28,12,90,31,12,99399,1
1056,26,10,84,44,10,85659,1
1057,51,16,77,41,3,62790,0
1058,40,16,55,52,7,47118,1
1059,48,3,55,45,11,77025,0
1060,56,20,93,8,3,84938,1
1061,32,7,72,10,11,30149,0
1062,58,4,82,22,7,63079,1
1063,36,15,65,49,12,27484,1
1064,53,3,73,10,11,80474,0
1065,37,14,54,48,12,115727,1
1066,30,11,90,1,11,73601,0
1067,36,4,91,2,8,68809,1
1068,45,15,62,10,3,45791,0
1069,62,13,96,49,2,94343,1
1070,43,9,61,58,12,51648,1
1071,38,6,54,34,6,56090,0
1072,40,12,86,57,4,115636,1
1073,46,19,80,14,8,42857,1
1074,48,4,77,42,13,87327,0
1075,47,2,77,10,15,118386,0
1076,63,14,79,30,14,67967,1
1077,51,3,67,27,2,78709,0
1078,37,14,93,27,4,92948,1
1079,23,13,76,31,2,73861,1
1080,47,19,84,24,14,93718,1
1081,29,18,75,19,2,45948,1
1082,31,12,88,27,2,58782,1
1083,46,9,98,24,1,75756,1
1084,23,20,100,10,4,107789,1
1085,30,4,67,18,2,93388,0
1086,46,19,82,27,9,109528,1
1087,33,19,74,0,9,91809,1
1088,39,5,80,58,11,32649,1
1089,30,3,86,4,11,54002,1
1090,57,1,51,9,7,59723,0
1091,57,15,82,41,6,99314,1
1092,55,17,88,45,12,115312,1
1093,27,4,92,33,3,95085,0
1094,61,3,92,35,14,106399,1
1095,63,12,81,1,12,36809,1
1096,50,18,67,17,14,83169,1
1097,29,1,66,12,15,33302,1
1098,31,12,83,50,7,33100,1
1099,30,10,88,4,1,93447,0
1100,34,3,56,19,9,102627,0
1101,56,19,91,1,4,99635,1
1102,55,19,84,10,6,80020,1
1103,45,14,79,29,6,30663,1
1104,46,3,61,31,11,118827,0
1105,59,8,84,31,3,69649,0
1106,57,6,60,57,4,72136,0
1107,62,18,93,49,13,61104,1
1108,44,18,53,37,11,64137,1
1109,49,5,74,54,10,27534,1
1110,57,5,97,27,3,92762,1
1111,23,19,81,9,13,77445,1
1112,57,14,69,21,6,34585,0
1113,59,14,99,54,1,117796,1
1114,36,19,80,16,8,117947,1
1115,25,8,53,21,8,101438,0
1116,23,3,87,42,9,61392,1
1117,27,17,96,18,6,109267,1
1118,48,17,50,16,1,108324,0
1119,36,4,52,23,3,56126,0
1120,61,19,86,35,15,67485,1
1121,49,10,71,31,1,70798,0
1122,31,4,66,57,15,93310,1
1123,37,3,63,55,13,34017,1
1124,37,11,90,57,15,50700,1
1125,48,1,84,45,5,115680,1
1126,35,12,62,58,3,61507,0
1127,54,9,84,51,14,72679,1
1128,61,8,92,35,2,117221,1
1129,54,9,51,27,3,114938,0
1130,26,6,96,13,9,62232,1
1131,52,3,62,57,11,114661,0
1132,59,18,100,35,8,49020,1
1133,45,9,65,5,13,82172,1
1134,61,2,67,8,3,38746,0
1135,37,20,56,20,11,88537,1
1136,51,18,94,11,2,29094,0
1137,58,20,85,60,5,93466,1
1138,35,1,90,57,12,55755,1
1139,54,19,79,29,12,36552,1
1140,29,9,91,30,13,84491,1
1141,44,1,90,39,12,44779,1
1142,50,1,56,55,1,54000,0
1143,24,16,64,3,4,110639,1
1144,28,15,89,30,8,78953,1
1145,50,15,68,26,1,82564,0
1146,50,13,92,57,5,39102,1
1147,42,6,86,56,12,26861,1
1148,52,20,51,24,4,68574,0
1149,33,10,91,4,6,57682,1
1150,50,0,97,5,7,103819,0
1151,47,10,62,4,9,116133,0
1152,61,20,89,50,1,102972,1
1153,55,3,90,26,11,118960,0
1154,23,6,92,7,10,90185,1
1155,49,14,92,8,4,99426,1
1156,35,17,80,14,6,73120,1
1157,63,11,65,35,10,63297,1
1158,25,16,91,56,7,33299,1
1159,61,0,93,40,7,66348,1
1160,28,10,55,6,8,66384,0
1161,30,0,77,31,14,101693,0
1162,49,14,81,7,10,57687,1
1163,31,20,93,46,8,89577,1
1164,59,9,59,50,8,85047,1
1165,55,6,99,14,8,35191,1
1166,46,1,67,36,12,81884,0
1167,37,9,53,18,15,79911,1
1168,54,3,58,38,8,102303,0
1169,54,11,56,5,6,108447,0
1170,46,18,99,58,9,119165,1
1171,63,10,57,18,3,117480,0
1172,34,7,92,56,6,68726,1
1173,61,17,56,27,5,59623,0
1174,24,10,90,16,15,108517,1
1175,25,10,89,41,15,75000,1
1176,59,12,52,18,8,96494,0
1177,39,2,66,30,4,105241,0
1178,24,11,51,10,4,88027,0
1179,24,2,64,14,13,83995,0
1180,50,9,95,9,15,67876,1
1181,45,16,78,42,10,76070,1
1182,59,1,99,22,11,115688,1
1183,54,16,97,2,10,91224,1
1184,55,15,71,2,13,50365,1
1185,23,1,53,17,5,54663,0
1186,41,19,55,24,11,90436,1
1187,24,5,87,42,13,108275,1
1188,48,9,75,19,13,88211,1
1189,54,9,60,57,15,35909,1
1190,28,7,75,28,6,85883,0
1191,54,0,66,21,15,37713,0
1192,26,12,73,49,11,37614,1
1193,33,8,77,56,4,45734,1
1194,39,9,84,14,2,55709,0
1195,60,14,80,38,12,47885,1
1196,46,4,62,9,12,96622,0
1197,27,15,84,20,14,103267,1
1198,56,12,65,54,2,111128,0
1199,28,19,64,51,12,38341,1
1200,44,17,92,28,3,64435,1
1201,33,10,67,31,2,37976,1
1202,38,8,96,9,1,107910,0
1203,55,15,86,12,14,102869,1
1204,31,1,97,46,8,30290,1
1205,28,1,97,22,12,70812,1
1206,38,11,98,49,5,75528,1
1207,51,7,90,22,10,83570,1
1208,25,8,76,30,1,81399,0
1209,42,11,84,3,13,73437,1
1210,58,8,94,51,9,114122,1
1211,41,9,84,48,8,82907,1
1212,48,1,77,59,4,106876,0
1213,25,15,88,2,8,73723,1
1214,41,19,87,20,13,60655,1
1215,42,6,58,52,12,80833,0
1216,54,1,61,1,13,105096,0
1217,29,0,64,3,10,48997,0
1218,63,18,70,0,7,91876,1
1219,55,3,84,14,11,51013,1
1220,62,1,91,56,15,57862,1
1221,61,13,82,32,11,77448,1
1222,40,1,100,5,7,112818,0
1223,62,14,68,6,1,70608,0
1224,23,11,72,18,6,109612,1
1225,33,4,62,43,13,65894,1
1226,50,19,93,0,4,110201,1
1227,47,6,50,38,14,75649,0
1228,45,20,100,18,10,87104,1
1229,53,9,78,44,10,101459,1
1230,52,13,73,25,10,64821,1
1231,57,13,65,43,11,72940,1
