Age,Income,YratCom,DistFromHome,Overtime,JobSatist,Performance,Department,Educ,WorkLifeBalance,Attrition
61,117569,30,7,7,5,2,Marketing,PhD,4,0
51,95783,20,18,18,4,3,Marketing,Masters,1,1
37,27324,38,15,15,2,5,IT,Bachelor,4,0
30,105289,28,6,6,3,1,HR,Masters,3,1
43,77958,25,12,12,3,3,Marketing,PhD,3,0
61,85229,32,11,11,5,5,Finance,PhD,5,0
41,117969,10,20,20,5,3,HR,Bachelor,3,0
45,93258,40,3,3,2,5,Finance,PhD,2,0
33,28710,33,2,2,4,2,Marketing,PhD,5,0
33,108630,13,6,6,3,5,HR,Masters,4,1
46,76159,41,24,24,4,4,IT,Bachelor,3,0
58,64970,37,22,22,2,1,Marketing,Masters,2,1
62,39623,16,5,5,3,5,Finance,Masters,5,1
46,80471,22,18,18,3,3,HR,Masters,2,1
25,39457,20,16,16,1,3,Finance,PhD,5,1
44,59332,27,8,8,2,5,Finance,PhD,5,1
24,116525,41,20,20,2,4,IT,Bachelor,5,1
46,125205,16,22,22,1,5,IT,PhD,4,1
52,124915,34,11,11,4,2,Marketing,Bachelor,5,0
60,117952,32,10,10,1,4,IT,Masters,5,1
24,38638,26,24,24,2,5,IT,Masters,2,1
43,25742,25,12,12,4,1,Marketing,PhD,5,1
55,39001,2,21,21,3,4,Marketing,PhD,4,1
34,34519,12,6,6,1,5,Marketing,Bachelor,2,1
44,53251,40,20,20,4,1,Marketing,PhD,5,1
47,27396,9,5,5,4,5,Finance,PhD,2,0
49,87247,12,23,23,4,2,Finance,PhD,4,0
64,114455,26,9,9,1,3,Marketing,Masters,2,0
50,110210,9,16,16,3,5,Marketing,PhD,4,0
38,72866,10,22,22,4,4,HR,PhD,3,1
37,27377,32,14,14,1,5,HR,Masters,5,1
25,92362,34,22,22,2,5,HR,Masters,4,1
59,26562,20,8,8,1,5,IT,Masters,5,0
29,55537,39,20,20,1,5,Finance,Masters,4,1
43,81070,2,19,19,1,4,Finance,PhD,1,1
31,57548,1,14,14,4,4,HR,PhD,1,1
61,66516,36,7,7,1,5,HR,PhD,1,0
40,71248,24,5,5,2,3,Finance,Bachelor,4,0
26,90562,27,18,18,4,5,IT,Masters,5,0
47,43968,2,2,2,2,4,HR,PhD,1,1
36,91942,31,11,11,5,2,Marketing,PhD,5,0
31,44121,14,22,22,1,5,HR,PhD,4,0
48,102564,2,8,8,4,5,Finance,Masters,5,0
24,121735,29,1,1,4,5,Finance,Masters,5,0
42,103468,15,22,22,1,5,HR,Masters,1,1
50,43300,12,12,12,3,1,HR,PhD,2,1
29,105190,37,2,2,3,5,Marketing,Masters,3,0
30,81432,28,18,18,2,4,Marketing,PhD,4,1
57,74695,20,7,7,1,4,IT,Bachelor,4,0
36,74694,39,17,17,1,1,IT,Masters,4,1
39,83354,24,22,22,5,5,Marketing,Masters,3,0
58,66113,21,23,23,3,3,IT,PhD,2,1
62,82949,10,14,14,3,5,IT,Masters,5,1
26,30124,14,24,24,1,4,HR,Masters,4,1
24,66277,37,7,7,2,2,Marketing,PhD,5,1
28,100193,18,22,22,1,2,HR,PhD,1,1
64,82262,24,3,3,2,3,HR,PhD,1,0
26,77198,14,6,6,3,5,IT,Bachelor,1,1
51,129542,34,20,20,5,1,HR,PhD,4,1
40,94038,12,2,2,4,5,Finance,Masters,3,0
48,90761,22,17,17,3,3,IT,Bachelor,4,1
56,44346,6,12,12,2,3,Finance,PhD,1,1
32,86003,36,12,12,1,3,IT,Bachelor,1,1
58,77312,36,17,17,3,2,HR,Bachelor,4,0
36,121205,22,10,10,5,5,IT,Masters,3,1
53,25235,14,3,3,2,5,Finance,Bachelor,3,1
37,103262,16,20,20,1,1,IT,PhD,5,0
30,59297,36,18,18,4,3,Finance,Bachelor,2,0
36,100596,25,13,13,2,3,Marketing,Bachelor,1,1
45,101104,32,12,12,1,4,HR,Masters,3,0
62,74807,33,17,17,4,4,Finance,Masters,1,0
43,57734,36,4,4,1,2,Marketing,PhD,2,1
38,88176,20,23,23,4,5,HR,Masters,1,0
40,25674,18,10,10,4,1,Marketing,PhD,3,1
46,44104,38,11,11,4,1,Finance,PhD,5,1
48,89325,3,6,6,1,3,HR,Masters,4,1
47,45291,23,6,6,4,1,Marketing,Bachelor,4,0
63,68651,32,9,9,2,3,Finance,Masters,3,1
51,91483,16,15,15,5,5,Marketing,Bachelor,3,0
37,60125,5,2,2,5,1,HR,Bachelor,2,1
23,104823,4,4,4,4,3,HR,PhD,1,1
47,25658,21,5,5,5,5,HR,PhD,2,1
29,46909,40,17,17,5,5,Finance,Masters,4,0
31,38891,14,8,8,4,3,Marketing,Bachelor,1,1
46,119852,39,8,8,4,3,Marketing,Masters,2,1
23,56456,31,22,22,2,2,Finance,PhD,4,1
30,32565,14,12,12,3,5,HR,Bachelor,1,1
46,121153,6,21,21,1,3,IT,Masters,5,1
33,100845,12,8,8,4,5,HR,Masters,5,0
39,117258,16,19,19,4,1,IT,PhD,2,1
30,124026,17,3,3,5,4,HR,PhD,3,1
57,38629,23,18,18,2,4,Finance,PhD,1,1
57,66323,14,21,21,5,3,IT,PhD,2,0
55,46220,7,19,19,4,3,Finance,Masters,3,1
27,41000,32,19,19,4,5,IT,PhD,3,1
64,36290,15,15,15,5,3,Marketing,PhD,1,1
61,83264,17,6,6,4,5,IT,Masters,1,0
63,93339,41,16,16,3,3,IT,Masters,3,1
50,125272,34,8,8,1,5,IT,Bachelor,4,0
29,58550,5,16,16,1,3,Marketing,Masters,2,1
31,108034,27,18,18,1,2,Finance,Bachelor,1,1
30,73563,23,20,20,3,5,Marketing,PhD,3,1
34,56524,40,16,16,4,2,IT,Bachelor,4,1
56,31972,14,11,11,5,2,HR,Bachelor,5,1
55,96551,15,7,7,2,2,Marketing,PhD,3,1
45,99947,33,17,17,4,2,HR,PhD,4,0
46,92108,31,17,17,3,1,Marketing,PhD,5,1
59,98831,35,12,12,3,4,Marketing,Bachelor,4,0
57,86114,17,13,13,1,1,IT,Masters,1,1
62,127762,28,10,10,4,3,Finance,Masters,3,1
44,127936,19,7,7,1,3,Finance,Masters,5,0
49,68533,23,14,14,2,4,IT,PhD,4,1
57,39068,32,23,23,1,4,Marketing,PhD,5,1
23,41453,40,1,1,2,4,Finance,Masters,2,0
57,81972,13,17,17,3,2,Finance,PhD,3,1
59,83982,20,4,4,1,1,Finance,Bachelor,1,1
36,99227,35,21,21,1,3,IT,Bachelor,5,1
25,121846,5,5,5,5,1,HR,PhD,4,0
23,52287,9,20,20,3,1,HR,Masters,5,1
27,55068,29,24,24,5,1,HR,Masters,4,1
48,27945,6,23,23,2,4,HR,Bachelor,5,1
36,115447,25,7,7,2,4,HR,PhD,1,1
61,93889,31,10,10,3,3,Finance,Masters,1,1
49,44699,22,17,17,2,3,Finance,Masters,3,1
31,100842,2,7,7,3,3,Marketing,PhD,1,1
37,50583,5,1,1,2,1,Finance,PhD,5,1
37,116389,27,7,7,4,4,IT,Masters,5,0
48,24196,25,24,24,1,2,Marketing,PhD,1,1
64,56538,8,11,11,4,1,Finance,PhD,2,0
35,70352,1,9,9,3,5,Marketing,PhD,5,0
54,111814,20,12,12,3,1,Marketing,Masters,3,0
61,89448,23,3,3,4,4,HR,Bachelor,2,1
54,53619,32,4,4,1,5,Marketing,PhD,1,1
26,60158,11,4,4,1,1,Finance,Masters,4,0
52,96878,39,13,13,5,4,HR,Bachelor,5,0
59,59351,24,23,23,2,4,Finance,Masters,4,1
45,99786,11,19,19,5,2,HR,Masters,3,0
61,96792,29,10,10,1,1,Finance,Masters,2,1
37,127282,26,5,5,4,4,HR,Bachelor,4,0
51,94896,16,7,7,2,3,HR,Masters,3,1
58,72497,35,24,24,4,4,IT,Bachelor,4,0
35,60306,20,16,16,5,2,Finance,PhD,4,1
54,29375,3,1,1,3,4,Marketing,Bachelor,3,0
29,122037,1,12,12,4,1,HR,Masters,5,1
44,32430,1,2,2,5,1,Finance,Bachelor,4,0
50,101199,17,7,7,5,5,HR,Masters,3,0
24,39428,2,11,11,5,1,IT,PhD,4,1
64,122876,29,13,13,3,5,IT,Bachelor,5,1
28,58182,20,2,2,3,3,IT,PhD,3,1
50,112400,6,7,7,3,2,IT,Bachelor,4,0
50,122338,8,15,15,2,3,Marketing,Masters,1,1
42,58702,29,11,11,3,5,Marketing,Bachelor,5,0
52,97663,33,2,2,3,4,HR,PhD,4,0
33,82963,3,7,7,3,4,Finance,Bachelor,2,1
50,84407,35,4,4,4,3,IT,PhD,3,1
47,57941,5,11,11,3,4,IT,PhD,4,1
61,115461,27,2,2,2,5,Marketing,Masters,5,1
55,64763,12,16,16,5,2,Marketing,Bachelor,5,1
23,122041,20,7,7,4,1,IT,PhD,2,1
49,39772,20,13,13,1,5,Finance,Masters,2,1
35,106076,9,5,5,3,5,HR,Masters,4,1
63,100917,39,17,17,5,1,HR,Masters,1,1
25,74309,4,21,21,5,1,HR,PhD,5,1
61,61672,19,12,12,4,2,HR,Bachelor,1,1
28,76226,38,19,19,1,2,Finance,PhD,1,1
30,90584,27,7,7,2,2,Finance,Masters,4,1
49,104193,13,6,6,5,4,Finance,PhD,3,0
31,37348,13,8,8,5,5,Marketing,PhD,3,0
59,85961,22,13,13,5,1,IT,Masters,3,1
55,69689,28,5,5,5,5,Finance,Bachelor,2,0
64,97683,22,2,2,4,5,HR,Masters,5,0
46,88591,19,9,9,1,2,Finance,Masters,2,1
37,105469,8,11,11,5,2,IT,PhD,5,0
54,107834,8,24,24,2,5,Marketing,Masters,5,0
54,130353,26,6,6,2,2,HR,PhD,5,1
46,67648,26,7,7,3,4,Marketing,Masters,4,0
63,123579,23,7,7,5,1,Finance,Masters,3,0
34,110417,13,19,19,5,5,HR,Bachelor,2,1
61,62517,28,6,6,5,1,HR,Masters,2,1
24,98622,9,11,11,5,4,Finance,Bachelor,4,0
25,103840,20,11,11,5,2,Finance,Masters,5,0
59,90717,19,7,7,2,3,IT,Masters,3,1
39,61246,39,2,2,1,4,Finance,Masters,1,0
24,113617,12,19,19,1,3,Finance,Bachelor,1,1
24,43226,15,4,4,3,1,Finance,PhD,4,1
50,115290,31,6,6,2,5,HR,Bachelor,3,0
45,106440,14,17,17,5,2,IT,Masters,1,1
59,66093,11,5,5,1,4,HR,PhD,1,1
54,93356,26,7,7,4,2,Finance,Masters,2,1
55,62293,27,9,9,4,3,IT,Bachelor,3,1
23,39211,11,1,1,4,3,Finance,Bachelor,1,1
41,23925,38,1,1,5,5,HR,PhD,2,1
24,65928,34,19,19,5,3,HR,Bachelor,3,0
48,33652,19,6,6,3,5,Finance,Masters,5,0
54,116247,6,18,18,3,4,IT,PhD,3,1
28,69412,38,10,10,3,5,HR,Masters,4,1
54,33034,28,11,11,4,3,Finance,PhD,2,0
26,30681,1,1,1,5,1,Marketing,PhD,5,1
33,44766,35,1,1,4,5,Finance,Masters,2,0
