,Age,Monthly_Hours_Log,Customer_Support_Calls,Device_Type,Discount_Offered,Satisfaction_Score,Premium_User
0,56,26.15910266477513,2,Mobile,0,2,0
1,46,25.191224346279643,1,Tablet,0,3,1
2,32,22.18868611429014,1,Mobile,0,4,1
3,60,37.50730687065686,2,Mobile,0,1,0
4,25,18.452570672463988,3,Tablet,1,4,1
5,38,37.258941797424924,3,Mobile,0,3,1
6,56,28.99891298992297,2,Desktop,0,4,1
7,36,13.805550601584468,2,Tablet,0,3,1
8,40,27.94119434393137,2,Desktop,1,3,1
9,28,8.199787938787008,2,Desktop,0,5,1
10,28,30.004064134648285,4,Desktop,1,4,1
11,41,32.08185186391193,0,Desktop,0,2,1
12,53,20.261152354783572,1,Mobile,1,3,1
13,57,25.98838156764466,1,Mobile,0,4,0
14,41,40.63325947000229,0,Tablet,1,2,1
15,20,20.954026365904507,1,Tablet,0,1,0
16,39,16.528739303547198,3,Desktop,0,2,1
17,19,36.85330721970079,2,Desktop,1,4,1
18,41,40.70069752424636,0,Tablet,0,4,1
19,61,25.029565374782777,3,Tablet,0,2,1
20,47,33.09170428326685,3,Tablet,1,2,0
21,55,35.73180732424705,1,Tablet,0,3,1
22,19,19.060126139692926,4,Desktop,0,4,0
23,38,21.11755331705705,1,Tablet,0,3,1
24,50,34.84699610523788,3,Mobile,0,3,1
25,29,38.480114229668075,2,Desktop,1,1,1
26,39,29.503046881394837,3,Mobile,0,4,1
27,61,17.961485171983565,1,Tablet,0,3,0
28,42,40.89648889359553,1,Mobile,0,1,0
29,44,20.752232817504286,0,Tablet,0,3,1
30,59,22.318897750628388,1,Mobile,1,3,1
31,45,27.738702675916972,4,Desktop,1,4,0
32,33,37.4332833657182,1,Mobile,0,2,1
33,32,31.83180781241779,2,Desktop,0,2,0
34,64,28.318924002895283,2,Mobile,1,4,1
35,61,28.70630824094485,1,Mobile,0,2,1
36,20,25.348117349147728,3,Desktop,0,5,1
37,54,29.46511611614805,1,Desktop,0,2,0
38,24,4.763519378445576,0,Tablet,0,3,0
39,38,22.627140327441612,5,Desktop,1,3,1
40,26,26.930575479334248,1,Desktop,0,1,1
41,56,15.791887331043943,1,Tablet,1,4,0
42,35,28.09058654249248,1,Desktop,0,1,1
43,21,23.364230232111026,1,Desktop,0,3,0
44,42,39.043805586523916,1,Mobile,1,3,0
45,31,37.58415780171885,0,Tablet,1,1,0
46,26,21.273555447054697,2,Tablet,1,5,1
47,43,23.793298307466436,2,Mobile,0,2,1
48,19,24.40841947513286,1,Tablet,1,5,1
49,37,21.38672419072302,3,Mobile,0,5,1
50,45,26.560199872225013,1,Desktop,0,5,1
51,64,18.93374344889928,0,Tablet,0,5,1
52,24,15.95507732049979,3,Desktop,0,2,1
53,61,29.98168979120215,3,Tablet,1,4,1
54,25,30.036236673774486,0,Desktop,0,1,1
55,64,18.56547392272006,1,Tablet,0,5,0
56,52,32.162843446100794,2,Tablet,0,5,1
57,31,19.94737816667735,1,Desktop,0,1,1
58,34,27.02532190430385,0,Mobile,0,1,0
59,53,31.562752100899647,0,Tablet,0,4,1
60,57,24.731099482370297,2,Mobile,0,3,0
61,21,28.637927297129075,3,Mobile,0,4,0
62,19,20.868562848899426,0,Mobile,1,3,0
63,23,23.428267332575224,0,Mobile,0,2,0
64,59,23.353124552957276,1,Mobile,0,4,0
65,21,19.02737322767809,3,Mobile,1,2,1
66,46,23.585806695073742,0,Tablet,0,1,0
67,35,12.611053609090026,5,Mobile,1,4,1
68,43,21.07077002286316,1,Tablet,0,1,0
69,61,22.720996053042633,1,Tablet,1,5,1
70,51,22.95056198003696,3,Tablet,0,1,0
71,27,23.06802043303377,1,Desktop,0,5,0
72,53,24.505886401118968,0,Mobile,0,3,0
73,31,28.83553214468851,1,Desktop,0,5,1
74,48,31.99613659306018,1,Mobile,1,3,1
75,32,19.801878185213862,1,Desktop,0,5,0
76,25,15.374393156886844,2,Tablet,0,5,0
77,31,16.663644702055176,1,Desktop,0,2,0
78,40,21.10237663044058,0,Tablet,1,2,1
79,57,22.184629457467928,2,Desktop,1,1,0
80,38,18.840031470420342,1,Mobile,0,2,0
81,33,14.631066686000844,2,Mobile,0,3,0
82,62,21.351033380206495,2,Desktop,0,2,0
83,35,26.45141296091177,1,Desktop,0,1,0
84,64,29.760235726684517,1,Mobile,0,4,0
85,41,20.54061557513343,0,Desktop,0,3,0
86,43,21.696017422852528,2,Desktop,1,4,1
87,42,17.586413529221513,1,Mobile,1,3,0
88,62,24.74848663700179,4,Tablet,0,1,1
89,58,18.212570926473482,1,Mobile,0,2,1
90,46,29.5850225059296,3,Mobile,1,4,1
91,32,10.71306806452711,1,Desktop,0,4,0
92,62,22.1229626203803,2,Mobile,0,2,0
93,18,27.408858713533938,2,Mobile,1,1,1
94,42,26.470676130580035,4,Desktop,0,2,0
95,24,46.544269311843976,1,Desktop,0,5,0
96,26,27.79840019654326,0,Tablet,0,5,0
97,41,16.967563225263916,3,Mobile,0,5,0
98,18,24.236286023287416,6,Tablet,0,4,0
99,61,10.790029332268386,1,Tablet,0,4,1
100,25,24.355202005625912,0,Tablet,0,1,1
101,41,18.33555154399393,1,Tablet,1,3,0
102,28,32.323122204481294,1,Mobile,0,2,0
103,34,20.60367780323572,0,Mobile,0,3,0
104,25,24.065872673638026,1,Mobile,0,4,1
105,52,19.915537268764773,1,Tablet,0,2,1
106,52,38.91081081482665,4,Desktop,1,4,1
107,50,22.430057871056707,4,Mobile,0,1,1
108,22,39.660456347833616,2,Tablet,0,2,0
109,59,31.513214096946133,0,Tablet,0,4,0
110,56,28.85653381868309,1,Tablet,0,5,1
111,58,27.949865178540158,1,Tablet,0,5,1
112,45,28.15037838573001,2,Tablet,0,4,1
113,24,9.57861936523512,0,Tablet,0,3,1
114,26,22.76893284679395,5,Mobile,1,1,0
115,25,31.761263769474574,2,Desktop,1,1,0
116,29,24.608822532207157,2,Mobile,1,4,1
117,51,13.7584812255714,1,Mobile,1,1,1
118,50,24.580764395380243,1,Tablet,1,2,0
119,40,38.63284413004393,0,Mobile,1,1,0
120,41,34.975133724277754,3,Desktop,0,5,1
121,54,24.503967925071745,4,Desktop,0,4,0
122,52,32.611594216464695,2,Tablet,1,2,1
123,61,22.067943837055587,1,Desktop,0,1,0
124,57,11.369027305386249,3,Tablet,0,5,0
125,39,17.604272094963566,1,Desktop,0,3,1
126,44,37.50311014806558,2,Desktop,0,1,1
127,52,22.808055345365567,1,Mobile,0,5,0
128,18,23.052928164999855,0,Desktop,0,5,0
129,52,22.601294429800955,0,Tablet,0,5,0
130,54,40.23309271658405,3,Desktop,1,5,1
131,64,38.007671322896506,2,Desktop,1,3,0
132,31,42.750241867585075,0,Mobile,1,4,1
133,20,23.727638316799588,3,Tablet,1,5,1
134,18,27.36499590997676,1,Tablet,0,4,0
135,22,12.866859604633671,1,Tablet,0,3,0
136,43,36.8154754089462,1,Mobile,0,3,1
137,31,15.65776358985652,1,Desktop,1,2,1
138,56,26.734204510101033,2,Tablet,0,2,0
139,44,16.221579778937247,0,Desktop,1,5,1
140,26,20.28906538609043,0,Desktop,0,4,0
141,32,18.301900551602397,1,Desktop,1,3,1
142,32,20.136997914593458,1,Mobile,0,1,0
143,43,20.687018374808172,1,Desktop,1,2,0
144,59,20.613849640599383,1,Mobile,0,2,1
145,30,31.666671294242455,3,Mobile,0,1,1
146,49,16.161097655499837,2,Mobile,0,4,1
147,56,26.764331416110934,2,Tablet,1,4,1
148,49,34.74367321844447,0,Mobile,0,4,0
149,21,20.89442908389283,0,Tablet,1,5,0
150,47,19.256648874019184,2,Mobile,1,5,1
151,54,23.155802998557995,0,Mobile,1,1,0
152,40,34.43780166688568,2,Mobile,0,3,0
153,56,26.552861047626863,3,Mobile,0,1,0
154,62,20.75028564313921,3,Desktop,0,3,1
155,32,28.87101320950432,1,Desktop,1,1,0
156,60,16.18166280130861,2,Mobile,1,5,1
157,46,30.450876083543584,1,Desktop,1,4,0
158,53,28.26885846161414,3,Tablet,0,2,1
159,30,22.537532230888928,2,Desktop,0,1,1
160,49,18.29131361242215,1,Desktop,1,1,0
161,24,17.90655262173234,2,Desktop,0,2,0
162,39,29.27853869076728,0,Mobile,1,1,1
163,45,34.831844019912495,1,Tablet,0,4,0
164,19,19.901538023769643,0,Mobile,0,2,1
165,59,28.667093628411873,0,Tablet,1,2,1
166,62,8.30378385118345,2,Mobile,0,4,0
167,23,20.323058154742405,3,Desktop,0,4,1
168,45,24.751528537032783,2,Tablet,1,2,0
169,45,17.72253266414533,2,Desktop,0,4,1
170,61,17.507949001683233,0,Tablet,1,4,1
171,61,19.65776354824891,1,Tablet,1,4,1
172,37,27.337541826610984,0,Mobile,0,2,0
173,47,23.501367852749002,1,Mobile,0,1,0
174,28,7.094150133400223,3,Desktop,0,3,1
175,45,8.03439877891947,1,Desktop,0,2,0
176,42,20.1450785771426,0,Tablet,0,3,0
177,56,28.661492688428417,1,Tablet,1,4,1
178,50,3.0199612581981228,0,Mobile,0,4,1
179,18,21.002158590786955,0,Mobile,0,1,1
180,44,20.79001714786063,1,Mobile,0,4,0
181,30,36.10670222566758,0,Mobile,0,3,0
182,58,21.91982550629709,2,Mobile,0,2,1
183,20,28.063911877927428,0,Tablet,1,2,0
184,56,26.130057120699707,4,Tablet,0,1,1
185,23,7.955468161542395,1,Desktop,0,3,1
186,25,31.1456577330539,3,Tablet,0,4,1
187,44,26.723172043650305,0,Mobile,0,5,1
188,26,29.066149117396716,3,Tablet,0,1,0
189,54,56.409901651490614,1,Tablet,1,1,1
190,50,8.327096484011292,2,Tablet,0,5,1
